X,Y,Height
3561937.000,5780157.000,0.000
3562192.456,5780223.060,0.000
3562447.913,5780289.121,0.000
3562703.369,5780355.181,0.000
3562958.826,5780421.242,0.000
3563214.282,5780487.302,0.000
3563469.738,5780553.362,0.000
3563725.195,5780619.423,0.000
3563980.651,5780685.483,0.000
3564236.107,5780751.544,0.000
3564491.564,5780817.604,0.000
3564747.020,5780883.664,0.000
3565002.477,5780949.725,0.000
3565257.933,5781015.785,0.000
3565513.389,5781081.846,0.000
3565768.846,5781147.906,0.000
3566024.302,5781213.966,0.000
3566279.758,5781280.027,0.000
3566535.215,5781346.087,0.000
3566790.671,5781412.148,0.000
3567046.128,5781478.208,0.000
3567301.584,5781544.268,0.000
3567557.040,5781610.329,0.000
3567812.497,5781676.389,0.000
3568067.953,5781742.450,0.000
3568323.409,5781808.510,0.000
3568578.866,5781874.570,0.000
3568834.322,5781940.631,0.000
3569089.779,5782006.691,0.000
3569345.235,5782072.752,0.000
3569600.691,5782138.812,0.000
3569856.148,5782204.872,0.000
3570111.604,5782270.933,0.000
3570367.060,5782336.993,0.000
3570622.517,5782403.054,0.000
3570877.973,5782469.114,0.000
3571133.430,5782535.174,0.000
3571388.886,5782601.235,0.000
3571644.342,5782667.295,0.000
3571899.799,5782733.356,0.000
3572155.255,5782799.416,0.000
3572410.711,5782865.477,0.000
3572666.168,5782931.537,0.000
3572921.624,5782997.597,0.000
3573177.081,5783063.658,0.000
3573432.537,5783129.718,0.000
3573687.993,5783195.779,0.000
3573943.450,5783261.839,0.000
3574198.906,5783327.899,0.000
3574454.362,5783393.960,0.000
3574709.819,5783460.020,0.000
3574965.275,5783526.081,0.000
3575220.732,5783592.141,0.000
3575476.188,5783658.201,0.000
3575731.644,5783724.262,0.000
3575987.101,5783790.322,0.000
3576242.557,5783856.383,0.000
3576498.013,5783922.443,0.000
3576753.470,5783988.503,0.000
3577008.926,5784054.564,0.000
3577264.383,5784120.624,0.000
3577519.839,5784186.685,0.000
3577775.295,5784252.745,0.000
3578030.752,5784318.805,0.000
3578286.208,5784384.866,0.000
3578541.664,5784450.926,0.000
3578797.121,5784516.987,0.000
3579052.577,5784583.047,0.000
3579308.034,5784649.107,0.000
3579563.490,5784715.168,0.000
3579818.946,5784781.228,0.000
3580074.403,5784847.289,0.000
3580329.859,5784913.349,0.000
3580585.315,5784979.409,0.000
3580840.772,5785045.470,0.000
3581096.228,5785111.530,0.000
3581351.685,5785177.591,0.000
3581607.141,5785243.651,0.000
3581862.597,5785309.711,0.000
3582118.054,5785375.772,0.000
3582373.510,5785441.832,0.000
3582628.966,5785507.893,0.000
3582884.423,5785573.953,0.000
3583139.879,5785640.013,0.000
3583395.336,5785706.074,0.000
3583650.792,5785772.134,0.000
3583906.248,5785838.195,0.000
3584161.705,5785904.255,0.000
3584417.161,5785970.315,0.000
3584672.617,5786036.376,0.000
3584928.074,5786102.436,0.000
3585183.530,5786168.497,0.000
3585438.987,5786234.557,0.000
3585694.443,5786300.617,0.000
3585949.899,5786366.678,0.000
3586205.356,5786432.738,0.000
3586460.812,5786498.799,0.000
3586716.268,5786564.859,0.000
3586971.725,5786630.919,0.000
3587227.181,5786696.980,0.000
3587482.638,5786763.040,0.000
3587738.094,5786829.101,0.000
3587993.550,5786895.161,0.000
3588249.007,5786961.221,0.000
3588504.463,5787027.282,0.000
3588759.919,5787093.342,0.000
3589015.376,5787159.403,0.000
3589270.832,5787225.463,0.000
3589526.289,5787291.523,0.000
3589781.745,5787357.584,0.000
3590037.201,5787423.644,0.000
3590292.658,5787489.705,0.000
3590548.114,5787555.765,0.000
3590803.570,5787621.826,0.000
3591059.027,5787687.886,0.000
3591314.483,5787753.946,0.000
3591569.940,5787820.007,0.000
3591825.396,5787886.067,0.000
3592080.852,5787952.128,0.000
3592336.309,5788018.188,0.000
3592591.765,5788084.248,0.000
3592847.221,5788150.309,0.000
3593102.678,5788216.369,0.000
3593358.134,5788282.430,0.000
3593613.591,5788348.490,0.000
3593869.047,5788414.550,0.000
3594124.503,5788480.611,0.000
3594379.960,5788546.671,0.000
3594635.416,5788612.732,0.000
3594890.872,5788678.792,0.000
3595146.329,5788744.852,0.000
3595401.785,5788810.913,0.000
3595657.242,5788876.973,0.000
3595912.698,5788943.034,0.000
3596168.154,5789009.094,0.000
3596423.611,5789075.154,0.000
3596679.067,5789141.215,0.000
3596934.523,5789207.275,0.000
3597189.980,5789273.336,0.000
3597445.436,5789339.396,0.000
3597700.893,5789405.456,0.000
3597956.349,5789471.517,0.000
3598211.805,5789537.577,0.000
3598467.262,5789603.638,0.000
3598722.718,5789669.698,0.000
3598978.174,5789735.758,0.000
3599233.631,5789801.819,0.000
3599489.087,5789867.879,0.000
3599744.544,5789933.940,0.000
3600000.000,5790000.000,0.000
