X,Y,Height
3561939.000,5780159.000,0.000
3561939.082,5780159.122,0.000
3561939.163,5780159.245,0.000
3561939.245,5780159.367,0.000
3561939.327,5780159.490,0.000
3561939.408,5780159.612,0.000
3561939.490,5780159.735,0.000
3561939.571,5780159.857,0.000
3561939.653,5780159.980,0.000
3561939.735,5780160.102,0.000
3561939.816,5780160.224,0.000
3561939.898,5780160.347,0.000
3561939.980,5780160.469,0.000
3561940.061,5780160.592,0.000
3561940.143,5780160.714,0.000
3561940.224,5780160.837,0.000
3561940.306,5780160.959,0.000
3561940.388,5780161.082,0.000
3561940.469,5780161.204,0.000
3561940.551,5780161.327,0.000
3561940.633,5780161.449,0.000
3561940.714,5780161.571,0.000
3561940.796,5780161.694,0.000
3561940.878,5780161.816,0.000
3561940.959,5780161.939,0.000
3561941.041,5780162.061,0.000
3561941.122,5780162.184,0.000
3561941.204,5780162.306,0.000
3561941.286,5780162.429,0.000
3561941.367,5780162.551,0.000
3561941.449,5780162.673,0.000
3561941.531,5780162.796,0.000
3561941.612,5780162.918,0.000
3561941.694,5780163.041,0.000
3561941.776,5780163.163,0.000
3561941.857,5780163.286,0.000
3561941.939,5780163.408,0.000
3561942.020,5780163.531,0.000
3561942.102,5780163.653,0.000
3561942.184,5780163.776,0.000
3561942.265,5780163.898,0.000
3561942.347,5780164.020,0.000
3561942.429,5780164.143,0.000
3561942.510,5780164.265,0.000
3561942.592,5780164.388,0.000
3561942.673,5780164.510,0.000
3561942.755,5780164.633,0.000
3561942.837,5780164.755,0.000
3561942.918,5780164.878,0.000
3561943.000,5780165.000,0.000
